number,value,params,state,user_attrs
10,1.1687767383825383,"{'volatility_lookback_days': 189, 'vol_percentile_low': 40, 'leverage': 1.0, 'smoothing_lambda': 0.7000000000000001}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.16269711654691732, 'stability_Sortino_CV': 0.13920290437339872, 'stability_Sortino_Worst_10pct': 1.0040986437439146, 'stability_Sortino_Consistency_Ratio': 1.0}, 'monte_carlo_replacement_stats': {'total_runs': 1, 'total_assets_replaced': 2, 'avg_replacement_percentage': 0.05, 'avg_assets_per_run': 2.0, 'asset_replacement_counts': {'UNH': 1, 'SYK': 1}, 'most_replaced_assets': [['UNH', 1], ['SYK', 1]]}}"
11,1.2371558839633845,"{'volatility_lookback_days': 504, 'vol_percentile_low': 40, 'leverage': 0.75, 'smoothing_lambda': 1.0}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.1622999525220492, 'stability_Sortino_CV': 0.13118795668828806, 'stability_Sortino_Worst_10pct': 1.0757444600723336, 'stability_Sortino_Consistency_Ratio': 1.0}, 'monte_carlo_replacement_stats': {'total_runs': 1, 'total_assets_replaced': 2, 'avg_replacement_percentage': 0.05, 'avg_assets_per_run': 2.0, 'asset_replacement_counts': {'RTX': 1, 'GS': 1}, 'most_replaced_assets': [['RTX', 1], ['GS', 1]]}}"
12,1.1996238754695694,"{'volatility_lookback_days': 315, 'vol_percentile_low': 40, 'leverage': 1.25, 'smoothing_lambda': 0.9}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.10199916794215229, 'stability_Sortino_CV': 0.08502595690855744, 'stability_Sortino_Worst_10pct': 1.0991576428329444, 'stability_Sortino_Consistency_Ratio': 1.0}, 'monte_carlo_replacement_stats': {'total_runs': 1, 'total_assets_replaced': 2, 'avg_replacement_percentage': 0.05, 'avg_assets_per_run': 2.0, 'asset_replacement_counts': {'LLY': 1, 'COST': 1}, 'most_replaced_assets': [['LLY', 1], ['COST', 1]]}}"
13,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.30000000000000004}",RUNNING,
14,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.30000000000000004}",RUNNING,
15,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
16,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.30000000000000004}",RUNNING,
17,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
18,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.30000000000000004}",RUNNING,
19,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
20,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
21,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
22,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
23,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
24,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
25,,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",RUNNING,
26,1.1401673684349152,"{'volatility_lookback_days': 378, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.4}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.22191554896975282, 'stability_Sortino_CV': 0.19463418714953387, 'stability_Sortino_Worst_10pct': 0.9741823398480477, 'stability_Sortino_Consistency_Ratio': 1.0}, 'monte_carlo_replacement_stats': {'total_runs': 1, 'total_assets_replaced': 2, 'avg_replacement_percentage': 0.05, 'avg_assets_per_run': 2.0, 'asset_replacement_counts': {'PEP': 1, 'BKNG': 1}, 'most_replaced_assets': [['PEP', 1], ['BKNG', 1]]}}"
